# HST CALSPEC model spectrum of Alpha Lyra (Vega)
# File taken from http://www.stsci.edu/hst/observatory/crds/calspec.html
# Filename: alpha_lyr_mod_001.fits
# Clipped on the red side at 2200 nm
# Units converted to nm and erg/s/cm^2/nm.
#
# Wavelength(nm)  Flux(erg/s/cm^2/nm)
     161.316003    5.273036e-08
     161.477698    5.466272e-08
     161.639600    5.647225e-08
     161.801599    5.559614e-08
     161.963794    5.340178e-08
     162.126196    5.112553e-08
     162.288696    4.966807e-08
     162.451404    5.063425e-08
     162.614294    5.182969e-08
     162.777295    5.250929e-08
     162.940503    4.758015e-08
     163.103796    4.549222e-08
     163.267297    4.747370e-08
     163.431006    5.092083e-08
     163.594800    5.459722e-08
     163.758899    5.626756e-08
     163.922998    5.509668e-08
     164.087305    5.480191e-08
     164.251794    5.594003e-08
     164.416504    5.788058e-08
     164.581299    5.982113e-08
     164.746301    5.974743e-08
     164.911499    5.734018e-08
     165.076794    5.701266e-08
     165.242297    5.763494e-08
     165.407996    5.189519e-08
     165.573804    3.881905e-08
     165.739795    2.964036e-08
     165.905896    4.112805e-08
     166.072205    5.361466e-08
     166.238696    5.579265e-08
     166.405396    5.665239e-08
     166.572205    5.854381e-08
     166.739197    5.673427e-08
     166.906396    4.889840e-08
     167.073706    4.052214e-08
     167.241199    4.528752e-08
     167.408801    5.004472e-08
     167.576697    5.345091e-08
     167.744604    5.680796e-08
     167.912805    5.756944e-08
     168.081201    5.966555e-08
     168.249597    6.075455e-08
     168.418298    5.974743e-08
     168.587195    5.714367e-08
     168.756201    5.625118e-08
     168.925305    5.758581e-08
     169.094702    5.715186e-08
     169.264197    5.559614e-08
     169.433899    5.361466e-08
     169.603796    5.097814e-08
     169.773804    5.133841e-08
     169.943994    5.308245e-08
     170.114404    5.232915e-08
     170.284900    5.335265e-08
     170.455603    5.511306e-08
     170.626501    5.387668e-08
     170.797498    5.173144e-08
     170.968799    5.204258e-08
     171.140100    5.268124e-08
     171.311694    5.214083e-08
     171.483496    5.254204e-08
     171.655396    5.259117e-08
     171.827502    5.148580e-08
     171.999695    5.068338e-08
     172.172095    5.244379e-08
     172.344800    5.377842e-08
     172.517505    5.081438e-08
     172.690503    5.074069e-08
     172.863599    5.478554e-08
     173.036902    5.538326e-08
     173.210400    5.494930e-08
     173.383997    5.476916e-08
     173.557800    5.487561e-08
     173.731799    5.573534e-08
     173.906006    5.616930e-08
     174.080298    5.412232e-08
     174.254797    5.256660e-08
     174.429504    5.438433e-08
     174.604395    5.548151e-08
     174.779395    5.481829e-08
     174.954700    5.551426e-08
     175.130103    5.569440e-08
     175.305603    5.679158e-08
     175.481299    5.928072e-08
     175.657300    5.933804e-08
     175.833398    5.669333e-08
     176.009595    5.339359e-08
     176.186096    5.213264e-08
     176.362695    5.001196e-08
     176.539502    4.795679e-08
     176.716504    5.068338e-08
     176.893701    5.269761e-08
     177.070996    5.279587e-08
     177.248499    5.435158e-08
     177.426196    5.634125e-08
     177.604102    5.619386e-08
     177.782104    5.661145e-08
     177.960400    5.739749e-08
     178.138794    5.673427e-08
     178.317395    5.638219e-08
     178.496106    5.464634e-08
     178.675000    5.243560e-08
     178.854199    5.448258e-08
     179.033496    5.868300e-08
     179.213000    6.005039e-08
     179.392603    5.939536e-08
     179.572498    5.855199e-08
     179.752502    5.771682e-08
     179.932703    5.874850e-08
     180.113098    6.002582e-08
     180.293604    5.899414e-08
     180.474402    5.671789e-08
     180.655298    5.449896e-08
     180.836401    5.320526e-08
     181.017700    5.544057e-08
     181.199194    5.720098e-08
     181.380798    5.675064e-08
     181.562598    5.492473e-08
     181.744702    5.379480e-08
     181.926904    5.435977e-08
     182.109302    5.472003e-08
     182.291797    5.490017e-08
     182.474597    5.443345e-08
     182.657495    5.401587e-08
     182.840601    5.342633e-08
     183.023901    5.237009e-08
     183.207397    5.203439e-08
     183.391101    5.395037e-08
     183.574902    5.433520e-08
     183.758899    5.296781e-08
     183.943201    5.036405e-08
     184.127600    4.786673e-08
     184.312097    4.836619e-08
     184.496899    4.961894e-08
