Wave     R062      Z087      Y106      J129      H158      F184      W146      K213      SNPrism   Grism_1stOrder  Grism_0thOrder
0.920    0.0000    2.8127    0.7298    0.0000    0.0000    0.0000    0.7298    0.0000    2.7290    0.0000    0.0000
0.925    0.0000    2.8162    1.2022    0.0000    0.0000    0.0000    1.2022    0.0000    2.7324    0.0000    0.0000
0.930    0.0000    2.8178    1.7158    0.0000    0.0000    0.0000    1.7158    0.0000    2.7340    0.0000    0.0000
0.935    0.0000    2.8184    2.1690    0.0000    0.0000    0.0000    2.1690    0.0000    2.7348    0.0000    0.0000
0.940    0.0000    2.8143    2.4908    0.0000    0.0000    0.0000    2.4908    0.0000    2.7322    0.0000    0.0000
0.945    0.0000    2.8058    2.6763    0.0000    0.0000    0.0000    2.6763    0.0000    2.7293    0.0000    0.0000
0.950    0.0000    2.7839    2.7617    0.0000    0.0000    0.0000    2.7617    0.0000    2.7258    0.0000    0.0000
0.955    0.0000    2.7306    2.7932    0.0000    0.0000    0.0000    2.7932    0.0000    2.7235    0.0000    0.0000
0.960    0.0000    2.6134    2.8025    0.0000    0.0000    0.0000    2.8025    0.0000    2.7223    0.0000    0.0000
0.965    0.0000    2.3904    2.8019    0.0000    0.0000    0.0000    2.8019    0.0000    2.7191    0.0000    0.0000
0.970    0.0000    2.0438    2.8006    0.0000    0.0000    0.0000    2.8006    0.0000    2.7173    0.0000    0.0000
0.975    0.0000    1.5926    2.7970    0.0000    0.0000    0.0000    2.7970    0.0000    2.7137    0.0000    0.0000
0.980    0.0000    1.1083    2.7948    0.0000    0.0000    0.0000    2.7948    0.0000    2.7116    0.0000    0.0000
0.985    0.0000    0.6759    2.7912    0.0000    0.0000    0.0000    2.7912    0.0000    2.7081    0.0000    0.0000
0.990    0.0000    0.3564    2.7872    0.0000    0.0000    0.0000    2.7872    0.0000    2.7042    0.0008    0.0000
0.995    0.0000    0.1609    2.7850    0.0000    0.0000    0.0000    2.7850    0.0000    2.7021    0.0672    0.0002
1.000    0.0000    0.0617    2.7816    0.0000    0.0000    0.0000    2.7816    0.0000    2.6987    0.6332    0.0021
1.005    0.0000    0.0200    2.7799    0.0000    0.0000    0.0000    2.7799    0.0000    2.6971    1.2319    0.0039
1.010    0.0000    0.0054    2.7784    0.0000    0.0000    0.0000    2.7784    0.0000    2.6957    1.3385    0.0040
1.015    0.0000    0.0012    2.7770    0.0000    0.0000    0.0000    2.7770    0.0000    2.6943    1.3756    0.0038
1.020    0.0000    0.0002    2.7757    0.0000    0.0000    0.0000    2.7757    0.0000    2.6930    1.4115    0.0037
1.025    0.0000    0.0000    2.7745    0.0000    0.0000    0.0000    2.7745    0.0000    2.6919    1.4472    0.0035
1.030    0.0000    0.0000    2.7735    0.0000    0.0000    0.0000    2.7735    0.0000    2.6909    1.4825    0.0034
1.035    0.0000    0.0000    2.7711    0.0000    0.0000    0.0000    2.7711    0.0000    2.6886    1.5167    0.0032
1.040    0.0000    0.0000    2.7706    0.0000    0.0000    0.0000    2.7706    0.0000    2.6881    1.5515    0.0031
1.045    0.0000    0.0000    2.7701    0.0000    0.0000    0.0000    2.7701    0.0000    2.6876    1.5859    0.0029
1.050    0.0000    0.0000    2.7699    0.0000    0.0000    0.0000    2.7699    0.0000    2.6874    1.6199    0.0028
1.055    0.0000    0.0000    2.7700    0.0000    0.0000    0.0000    2.7700    0.0000    2.6875    1.6536    0.0026
1.060    0.0000    0.0000    2.7703    0.0000    0.0000    0.0000    2.7703    0.0000    2.6878    1.6870    0.0025
1.065    0.0000    0.0000    2.7708    0.0000    0.0000    0.0000    2.7708    0.0000    2.6883    1.7200    0.0023
1.070    0.0000    0.0000    2.7715    0.0000    0.0000    0.0000    2.7715    0.0000    2.6890    1.7525    0.0022
1.075    0.0000    0.0000    2.7723    0.0000    0.0000    0.0000    2.7723    0.0000    2.6898    1.7846    0.0021
1.080    0.0000    0.0000    2.7732    0.0002    0.0000    0.0000    2.7732    0.0000    2.6906    1.8161    0.0019
1.085    0.0000    0.0000    2.7756    0.0007    0.0000    0.0000    2.7756    0.0000    2.6930    1.8481    0.0018
1.090    0.0000    0.0000    2.7763    0.0027    0.0000    0.0000    2.7763    0.0000    2.6937    1.8783    0.0017
1.095    0.0000    0.0000    2.7771    0.0091    0.0000    0.0000    2.7771    0.0000    2.6944    1.9080    0.0016
1.100    0.0000    0.0000    2.7792    0.0267    0.0000    0.0000    2.7792    0.0000    2.6964    1.9379    0.0014
1.105    0.0000    0.0000    2.7778    0.0689    0.0000    0.0000    2.7778    0.0000    2.6951    1.9648    0.0013
1.110    0.0000    0.0000    2.7778    0.1566    0.0000    0.0000    2.7778    0.0000    2.6951    1.9918    0.0012
1.115    0.0000    0.0000    2.7791    0.3153    0.0000    0.0000    2.7791    0.0000    2.6963    2.0192    0.0011
1.120    0.0000    0.0000    2.7803    0.5645    0.0000    0.0000    2.7803    0.0000    2.6975    2.0459    0.0010
1.125    0.0000    0.0000    2.7800    0.9041    0.0000    0.0000    2.7800    0.0000    2.6973    2.0708    0.0009
1.130    0.0000    0.0000    2.7815    1.3070    0.0000    0.0000    2.7815    0.0000    2.6987    2.0963    0.0009
1.135    0.0000    0.0000    2.7821    1.7214    0.0000    0.0000    2.7822    0.0000    2.6993    2.1205    0.0008
1.140    0.0000    0.0000    2.7827    2.0919    0.0000    0.0000    2.7830    0.0000    2.7001    2.1440    0.0007
1.145    0.0000    0.0000    2.7823    2.3792    0.0000    0.0000    2.7833    0.0000    2.7004    2.1665    0.0006
1.150    0.0000    0.0000    2.7815    2.5745    0.0000    0.0000    2.7852    0.0000    2.7022    2.1895    0.0006
1.155    0.0000    0.0000    2.7748    2.6886    0.0000    0.0000    2.7860    0.0000    2.7031    2.2110    0.0005
1.160    0.0000    0.0000    2.7566    2.7473    0.0000    0.0000    2.7870    0.0000    2.7041    2.2319    0.0005
1.165    0.0000    0.0000    2.7157    2.7753    0.0000    0.0000    2.7896    0.0000    2.7066    2.2533    0.0004
1.170    0.0000    0.0000    2.6306    2.7865    0.0000    0.0000    2.7910    0.0000    2.7079    2.2731    0.0004
1.175    0.0000    0.0000    2.4822    2.7926    0.0000    0.0000    2.7939    0.0000    2.7107    2.2934    0.0003
1.180    0.0000    0.0000    2.2517    2.7966    0.0000    0.0000    2.7969    0.0000    2.7136    2.3131    0.0003
1.185    0.0000    0.0000    1.9366    2.7983    0.0000    0.0000    2.7984    0.0000    2.7150    2.3308    0.0002
1.190    0.0000    0.0000    1.5604    2.8016    0.0000    0.0000    2.8016    0.0000    2.7182    2.3494    0.0002
1.195    0.0000    0.0000    1.1637    2.8049    0.0000    0.0000    2.8049    0.0000    2.7214    2.3672    0.0002
1.200    0.0000    0.0000    0.7949    2.8064    0.0000    0.0000    2.8064    0.0000    2.7229    2.3830    0.0002
1.205    0.0000    0.0000    0.4936    2.8083    0.0000    0.0000    2.8083    0.0000    2.7247    2.3983    0.0001
1.210    0.0000    0.0000    0.2771    2.8119    0.0000    0.0000    2.8119    0.0000    2.7282    2.4145    0.0001
1.215    0.0000    0.0000    0.1398    2.8156    0.0000    0.0000    2.8156    0.0000    2.7318    2.4300    0.0001
1.220    0.0000    0.0000    0.0631    2.8176    0.0000    0.0000    2.8176    0.0000    2.7337    2.4434    0.0001
1.225    0.0000    0.0000    0.0254    2.8208    0.0000    0.0000    2.8208    0.0000    2.7368    2.4572    0.0001
1.230    0.0000    0.0000    0.0091    2.8242    0.0000    0.0000    2.8242    0.0000    2.7401    2.4705    0.0000
1.235    0.0000    0.0000    0.0029    2.8265    0.0000    0.0000    2.8265    0.0000    2.7423    2.4823    0.0000
