   Wave      Z087      Y106      J129      H158      F184      W149    SNPrism   BAO-Grism
     0.775    0.4634    0.0000    0.0000    0.0000    0.0000    0.0000    0.4586    0.0000
     0.780    0.4842    0.0000    0.0000    0.0000    0.0000    0.0000    0.4642    0.0000
     0.785    0.4935    0.0000    0.0000    0.0000    0.0000    0.0000    0.4697    0.0000
     0.790    0.4991    0.0000    0.0000    0.0000    0.0000    0.0000    0.4752    0.0000
     0.795    0.5037    0.0000    0.0000    0.0000    0.0000    0.0000    0.4807    0.0000
     0.800    0.5081    0.0000    0.0000    0.0000    0.0000    0.0000    0.4860    0.0000
     0.805    0.5126    0.0000    0.0000    0.0000    0.0000    0.0000    0.4914    0.0000
     0.810    0.5171    0.0000    0.0000    0.0000    0.0000    0.0000    0.4968    0.0000
     0.815    0.5215    0.0000    0.0000    0.0000    0.0000    0.0000    0.5021    0.0000
     0.820    0.5258    0.0000    0.0000    0.0000    0.0000    0.0000    0.5072    0.0000
     0.825    0.5301    0.0000    0.0000    0.0000    0.0000    0.0000    0.5121    0.0000
     0.830    0.5342    0.0000    0.0000    0.0000    0.0000    0.0000    0.5169    0.0000
     0.835    0.5382    0.0000    0.0000    0.0000    0.0000    0.0000    0.5214    0.0000
     0.840    0.5420    0.0000    0.0000    0.0000    0.0000    0.0000    0.5258    0.0000
     0.845    0.5457    0.0000    0.0000    0.0000    0.0000    0.0000    0.5299    0.0000
     0.850    0.5491    0.0000    0.0000    0.0000    0.0000    0.0000    0.5338    0.0000
     0.855    0.5524    0.0000    0.0000    0.0000    0.0000    0.0000    0.5374    0.0000
     0.860    0.5555    0.0000    0.0000    0.0000    0.0000    0.0000    0.5408    0.0000
     0.865    0.5585    0.0000    0.0000    0.0000    0.0000    0.0000    0.5441    0.0000
     0.870    0.5613    0.0000    0.0000    0.0000    0.0000    0.0000    0.5472    0.0000
     0.875    0.5639    0.0000    0.0000    0.0000    0.0000    0.0000    0.5501    0.0000
     0.880    0.5665    0.0000    0.0000    0.0000    0.0000    0.0000    0.5528    0.0000
     0.885    0.5689    0.0000    0.0000    0.0000    0.0000    0.0000    0.5554    0.0000
     0.890    0.5713    0.0002    0.0000    0.0000    0.0000    0.0002    0.5580    0.0000
     0.895    0.5736    0.0009    0.0000    0.0000    0.0000    0.0009    0.5604    0.0000
     0.900    0.5759    0.0037    0.0000    0.0000    0.0000    0.0037    0.5630    0.0000
     0.905    0.5782    0.0123    0.0000    0.0000    0.0000    0.0123    0.5656    0.0000
     0.910    0.5805    0.0340    0.0000    0.0000    0.0000    0.0340    0.5683    0.0000
     0.915    0.5828    0.0783    0.0000    0.0000    0.0000    0.0783    0.5710    0.0000
     0.920    0.5850    0.1518    0.0000    0.0000    0.0000    0.1518    0.5737    0.0000
     0.925    0.5873    0.2507    0.0000    0.0000    0.0000    0.2507    0.5764    0.0000
     0.930    0.5894    0.3589    0.0000    0.0000    0.0000    0.3589    0.5791    0.0000
     0.935    0.5916    0.4553    0.0000    0.0000    0.0000    0.4553    0.5817    0.0000
     0.940    0.5935    0.5253    0.0000    0.0000    0.0000    0.5253    0.5842    0.0000
     0.945    0.5945    0.5671    0.0000    0.0000    0.0000    0.5671    0.5867    0.0000
     0.950    0.5929    0.5881    0.0000    0.0000    0.0000    0.5881    0.5891    0.0000
     0.955    0.5846    0.5980    0.0000    0.0000    0.0000    0.5980    0.5918    0.0000
     0.960    0.5622    0.6029    0.0000    0.0000    0.0000    0.6029    0.5946    0.0000
     0.965    0.5172    0.6062    0.0000    0.0000    0.0000    0.6062    0.5973    0.0000
     0.970    0.4445    0.6091    0.0000    0.0000    0.0000    0.6091    0.6000    0.0000
     0.975    0.3484    0.6118    0.0000    0.0000    0.0000    0.6118    0.6026    0.0000
     0.980    0.2436    0.6144    0.0000    0.0000    0.0000    0.6144    0.6052    0.0000
     0.985    0.1494    0.6169    0.0000    0.0000    0.0000    0.6169    0.6077    0.0000
     0.990    0.0792    0.6192    0.0000    0.0000    0.0000    0.6192    0.6101    0.0000
     0.995    0.0359    0.6213    0.0000    0.0000    0.0000    0.6213    0.6123    0.0000
     1.000    0.0138    0.6231    0.0000    0.0000    0.0000    0.6231    0.6144    0.0000
     1.005    0.0045    0.6246    0.0000    0.0000    0.0000    0.6246    0.6161    0.0000
     1.010    0.0012    0.6258    0.0000    0.0000    0.0000    0.6258    0.6176    0.0000
     1.015    0.0003    0.6268    0.0000    0.0000    0.0000    0.6268    0.6191    0.0000
     1.020    0.0001    0.6277    0.0000    0.0000    0.0000    0.6277    0.6204    0.0000
     1.025    0.0000    0.6284    0.0000    0.0000    0.0000    0.6284    0.6216    0.0000
     1.030    0.0000    0.6290    0.0000    0.0000    0.0000    0.6290    0.6229    0.0000
     1.035    0.0000    0.6295    0.0000    0.0000    0.0000    0.6295    0.6241    0.0000
     1.040    0.0000    0.6300    0.0000    0.0000    0.0000    0.6300    0.6253    0.0000
     1.045    0.0000    0.6305    0.0000    0.0000    0.0000    0.6305    0.6266    0.0000
     1.050    0.0000    0.6310    0.0000    0.0000    0.0000    0.6310    0.6280    0.0000
     1.055    0.0000    0.6319    0.0000    0.0000    0.0000    0.6319    0.6298    0.0000
     1.060    0.0000    0.6328    0.0000    0.0000    0.0000    0.6328    0.6316    0.0000
     1.065    0.0000    0.6336    0.0000    0.0000    0.0000    0.6336    0.6336    0.0000
     1.070    0.0000    0.6345    0.0000    0.0000    0.0000    0.6345    0.6357    0.0000
     1.075    0.0000    0.6354    0.0000    0.0000    0.0000    0.6354    0.6378    0.0000
     1.080    0.0000    0.6362    0.0000    0.0000    0.0000    0.6362    0.6398    0.0000
     1.085    0.0000    0.6369    0.0002    0.0000    0.0000    0.6369    0.6419    0.0000
     1.090    0.0000    0.6376    0.0006    0.0000    0.0000    0.6376    0.6438    0.0000
     1.095    0.0000    0.6382    0.0021    0.0000    0.0000    0.6382    0.6456    0.0000
     1.100    0.0000    0.6387    0.0061    0.0000    0.0000    0.6387    0.6472    0.0000
     1.105    0.0000    0.6389    0.0158    0.0000    0.0000    0.6389    0.6483    0.0000
     1.110    0.0000    0.6389    0.0360    0.0000    0.0000    0.6389    0.6492    0.0000
     1.115    0.0000    0.6388    0.0725    0.0000    0.0000    0.6388    0.6498    0.0000
     1.120    0.0000    0.6387    0.1297    0.0000    0.0000    0.6387    0.6503    0.0000
     1.125    0.0000    0.6385    0.2076    0.0000    0.0000    0.6385    0.6506    0.0000
     1.130    0.0000    0.6383    0.2999    0.0000    0.0000    0.6383    0.6508    0.0000
     1.135    0.0000    0.6381    0.3948    0.0000    0.0000    0.6381    0.6510    0.0000
     1.140    0.0000    0.6379    0.4795    0.0000    0.0000    0.6380    0.6511    0.0000
     1.145    0.0000    0.6377    0.5453    0.0000    0.0000    0.6380    0.6513    0.0000
     1.150    0.0000    0.6372    0.5898    0.0000    0.0000    0.6381    0.6517    0.0000
     1.155    0.0000    0.6360    0.6163    0.0000    0.0000    0.6386    0.6524    0.0000
     1.160    0.0000    0.6323    0.6302    0.0000    0.0000    0.6393    0.6533    0.0000
     1.165    0.0000    0.6231    0.6368    0.0000    0.0000    0.6401    0.6543    0.0000
     1.170    0.0000    0.6041    0.6399    0.0000    0.0000    0.6410    0.6555    0.0000
     1.175    0.0000    0.5703    0.6416    0.0000    0.0000    0.6419    0.6568    0.0000
     1.180    0.0000    0.5176    0.6428    0.0000    0.0000    0.6429    0.6581    0.0000
     1.185    0.0000    0.4456    0.6438    0.0000    0.0000    0.6439    0.6595    0.0000
     1.190    0.0000    0.3591    0.6448    0.0000    0.0000    0.6448    0.6608    0.0000
     1.195    0.0000    0.2679    0.6456    0.0000    0.0000    0.6456    0.6621    0.0000
     1.200    0.0000    0.1831    0.6463    0.0000    0.0000    0.6463    0.6632    0.0000
     1.205    0.0000    0.1137    0.6467    0.0000    0.0000    0.6467    0.6640    0.0000
     1.210    0.0000    0.0638    0.6470    0.0000    0.0000    0.6470    0.6647    0.0000
     1.215    0.0000    0.0321    0.6471    0.0000    0.0000    0.6471    0.6653    0.0000
     1.220    0.0000    0.0145    0.6472    0.0000    0.0000    0.6472    0.6658    0.0000
     1.225    0.0000    0.0058    0.6473    0.0000    0.0000    0.6473    0.6663    0.0000
     1.230    0.0000    0.0021    0.6473    0.0000    0.0000    0.6473    0.6667    0.0000
     1.235    0.0000    0.0007    0.6473    0.0000    0.0000    0.6473    0.6671    0.0000
     1.240    0.0000    0.0002    0.6473    0.0000    0.0000    0.6473    0.6676    0.0000
     1.245    0.0000    0.0000    0.6473    0.0000    0.0000    0.6473    0.6680    0.0000
     1.250    0.0000    0.0000    0.6473    0.0000    0.0000    0.6473    0.6684    0.0000
     1.255    0.0000    0.0000    0.6476    0.0000    0.0000    0.6476    0.6692    0.0000
     1.260    0.0000    0.0000    0.6480    0.0000    0.0000    0.6480    0.6698    0.0000
     1.265    0.0000    0.0000    0.6483    0.0000    0.0000    0.6483    0.6704    0.0000
     1.270    0.0000    0.0000    0.6487    0.0000    0.0000    0.6487    0.6709    0.0000
     1.275    0.0000    0.0000    0.6489    0.0000    0.0000    0.6489    0.6713    0.0000
     1.280    0.0000    0.0000    0.6490    0.0000    0.0000    0.6490    0.6714    0.0000
     1.285    0.0000    0.0000    0.6491    0.0000    0.0000    0.6491    0.6714    0.0000
     1.290    0.0000    0.0000    0.6490    0.0000    0.0000    0.6490    0.6711    0.0000
     1.295    0.0000    0.0000    0.6487    0.0000    0.0000    0.6487    0.6705    0.0001
     1.300    0.0000    0.0000    0.6482    0.0000    0.0000    0.6482    0.6697    0.0004
