SEG FILTER AX BX CX DX AY BY CY DY FILE
1d f606w 4018 4040 4649 4664 5281 5913 5913 5319 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1d_acs_wfc_f606w_30mas_unrot_drz.fits
1d f814w 4018 4040 4649 4664 5281 5913 5913 5319 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1d_acs_wfc_f814w_30mas_unrot_drz.fits
1l f606w 309 326 406 369 4163 3951 4036 4138 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1l_acs_wfc_f606w_30mas_unrot_drz.fits
1l f814w 309 326 406 369 4163 3951 4036 4138 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1l_acs_wfc_f814w_30mas_unrot_drz.fits
1l f606w 379 376 628 613 4081 4048 4063 4086 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1l_acs_wfc_f606w_30mas_unrot_drz.fits
1l f814w 379 376 628 613 4081 4048 4063 4086 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1l_acs_wfc_f814w_30mas_unrot_drz.fits
1m f606w 5064 5064 5867 5867 1924 2600 2600 1924 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1o_acs_wfc_f606w_30mas_unrot_drz.fits
1m f814w 5064 5064 5867 5867 1924 2600 2600 1924 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1m_acs_wfc_f814w_30mas_unrot_drz.fits
1o f606w 6820 4852 5137 6949 5193 6912 7097 5248 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1o_acs_wfc_f606w_30mas_unrot_drz.fits
1o f814w 6820 4852 5137 6949 5193 6912 7097 5248 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1o_acs_wfc_f814w_30mas_unrot_drz.fits
1o f606w 2803 2799 6404 6250 6725 7281 7489 6948 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1o_acs_wfc_f606w_30mas_unrot_drz.fits
1o f814w 2803 2799 6404 6250 6725 7281 7489 6948 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1o_acs_wfc_f814w_30mas_unrot_drz.fits
1o f606w 4629 4725 4780 4671 6840 4466 4466 6859 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f606w/EGS_10134_1o_acs_wfc_f606w_30mas_unrot_drz.fits
1o f814w 4629 4725 4780 4671 6840 4466 4466 6859 /nfs/slac/g/ki/ki19/deuce/AEGIS/unzip/f814w/EGS_10134_1o_acs_wfc_f814w_30mas_unrot_drz.fits


